humidity,tempreature,pressure,rain,winter,summer
27,0.74,1010,0,1,0
32,0.85,9999,0,1,0
44,0.84,9999,0,1,0
41,0.76,1010,0,1,0
47,1.3,1011,0,1,0
56,1.6,1011,0,1,0
60,1.93,1010,0,1,0
60,1.8,9999,0,1,0
68,1.6,9999,0,1,0
68,30,1010,0,1,0
68,28,1009,0,1,0
64,24,1009,0,0,0
60,24,1010,1,0,0
60,23,1010,1,0,0
52,21,1011,0,1,0
46,21,1012,0,1,0
44,21,1012,1,1,0
39,19,1012,0,0,0
32,19,1011,1,0,0
29,19,1010,0,0,0
24,19,1009,0,1,0
22,19,1009,0,1,0
22,19,1009,0,1,0
25,20,1009,1,0,0
34,22,1009,1,0,0
41,23,1009,1,0,0
53,26,1010,1,0,0
56,28,1010,0,1,0
64,30,1010,0,1,0
60,31,1010,0,1,0
64,31,1009,0,1,0
60,31,1009,0,1,0
68,30,1009,0,1,0
68,27,1009,0,1,0
72,25,1009,0,1,0
72,22,1009,0,1,0
68,21,1010,1,0,0
72,19,1011,1,0,0
63,20,1011,1,0,0
64,19,1012,1,0,0
53,19,1012,1,0,0
60,17,1012,0,0,0
44,17,1011,0,1,0
30,17,1010,0,1,0
35,17,1010,0,1,0
33,17,1009,0,1,0
33,16,1009,1,1,0
39,17,1009,0,1,0
42,19,1010,1,1,0
60,22,1010,0,1,0
57,22,1011,1,0,0
60,26,1011,0,0,0
56,28,1011,1,0,0
64,28,1011,0,1,0
60,29,1011,1,1,0
64,29,1011,0,1,0
68,27,1010,1,1,0
64,26,1010,0,1,0
77,22,1010,1,1,0
77,22,1010,1,0,0
68,21,1011,1,0,0
77,21,1012,0,1,0
68,20,1013,0,1,0
60,20,1014,0,1,0
42,19,1013,0,1,0
37,19,1013,0,1,0
32,19,1012,0,1,0
27,17,1011,0,1,0
29,17,1010,0,1,0
25,18,1010,0,1,0
34,15,1010,0,1,0
39,17,1010,0,1,0
44,20,1011,0,1,0
46,26,1011,1,0,0
46,28,1011,1,0,0
59,28,1011,1,0,0
64,29,1011,1,0,0
68,29,1010,1,0,0
38,29,1013,1,0,0
34,27,1013,1,0,0
27,25,1012,1,0,0
23,23,1011,1,0,0
25,21,1010,1,0,0
30,21,1012,1,0,0
25,18,1011,1,0,0
27,18,1011,0,1,0
22,17,1010,0,1,0
26,24,1010,1,0,0
32,26,1011,1,0,0
36,29,1012,1,0,0
52,30,1012,1,0,0
56,30,1013,1,0,0
56,28,1013,1,0,0
56,29,1013,1,0,0
59,29,1013,1,0,0
68,29,1012,1,0,0
72,28,1012,1,0,0
72,25,1012,1,0,0
77,24,1012,1,0,0
77,20,1012,1,0,0
68,19,1013,1,0,0
59,19,1014,0,1,0
64,19,1015,0,1,0
53,18,1015,0,1,0
47,17,1015,0,1,0
37,16,1014,0,1,0
33,16,1013,0,1,0
27,15,1012,0,1,0
25,15,1012,0,1,0
23,17,1012,0,1,0
25,18,1012,0,1,0
36,19,1013,0,1,0
38,23,1013,1,1,0
46,25,1014,1,1,0
49,27,1014,1,0,0
52,29,1014,1,0,0
52,29,1014,1,0,0
49,30,1014,1,0,0
52,30,1014,1,0,0
59,29,1014,1,0,0
59,25,1013,1,0,0
59,24,1013,1,0,0
63,22,1013,1,0,0
59,20,1014,0,0,0
44,19,1014,1,0,0
59,19,1015,0,1,0
49,19,1016,0,1,0
46,18,1016,0,1,0
38,17,1016,0,1,0
32,17,1016,0,1,0
23,16,1015,0,1,0
23,15,1014,0,1,0
23,15,1014,0,1,0
25,45,1014,0,1,0
26,16,1014,0,1,0
41,18,1014,0,1,0
46,21,1015,0,1,0
49,24,1015,1,1,0
49,27,1015,1,1,0
49,28,1015,1,1,0
56,29,1015,1,1,0
52,29,1015,1,1,0
59,28,1015,1,1,0
59,27,1014,1,1,0
59,23,1014,1,1,0
59,21,1014,1,1,0
59,21,1014,1,1,0
55,20,1014,0,1,0
59,20,1014,0,1,0
52,19,1015,0,1,0
49,19,1016,0,1,0
46,18,1016,0,1,0
38,17,1016,0,1,0
28,17,1014,0,1,0
28,16,1013,0,1,0
26,16,1013,0,1,0
30,16,1012,0,1,0
32,15,1013,0,1,0
43,16,1013,0,1,0
46,18,1014,0,1,0
52,21,1014,0,1,0
52,24,1014,1,0,0
56,27,1014,1,0,0
55,28,1014,0,0,0
55,28,1014,0,0,0
55,37,1013,0,0,0
63,39,1013,0,0,1
59,42,1013,0,0,1
59,45,1013,0,0,1
63,47,1013,0,0,1
63,48,1013,0,0,1
59,50,1014,0,0,1
49,52,1014,0,0,1
41,43,1015,0,0,1
36,19,1014,0,0,1
30,60,1013,0,0,1
25,55,1012,0,0,1
22,49,1012,0,0,1
20,44,1011,0,0,1
20,46,1011,0,0,1
24,43,1011,0,0,1
33,53,1011,0,0,1
40,61,1011,0,0,1
56,58,1012,0,0,1
49,52,9999,0,0,1
49,47,1012,0,0,1
48,49,1011,0,0,1
55,44,1011,0,0,1
59,43,1011,0,0,1
67,55,1011,0,0,1
63,54,1011,0,0,1
63,53,1012,0,0,1
59,41,1012,0,0,1
49,40,1013,0,0,1
40,50,1014,0,0,1
34,60,1014,0,0,1
28,51,1014,0,0,1
21,53,1014,0,0,1
20,54,1012,0,0,1
